Year,State,Total_SAT_Takers,Total_Participation_Rate,Mean_Total_Score,Mean_ERW_Score,Mean_Math_Score,Race_AmInd_N,Race_AmInd_Pct,Race_AmInd_Mean_Tot,Race_AmInd_Mean_ERW,Race_AmInd_Mean_Math,Race_AmInd_Met_Both,Race_AmInd_Met_ERW,Race_AmInd_Met_Math,Race_Asian_N,Race_Asian_Pct,Race_Asian_Mean_Tot,Race_Asian_Mean_ERW,Race_Asian_Mean_Math,Race_Asian_Met_Both,Race_Asian_Met_ERW,Race_Asian_Met_Math,Race_Black_N,Race_Black_Pct,Race_Black_Mean_Tot,Race_Black_Mean_ERW,Race_Black_Mean_Math,Race_Black_Met_Both,Race_Black_Met_ERW,Race_Black_Met_Math,Race_Hispanic_N,Race_Hispanic_Pct,Race_Hispanic_Mean_Tot,Race_Hispanic_Mean_ERW,Race_Hispanic_Mean_Math,Race_Hispanic_Met_Both,Race_Hispanic_Met_ERW,Race_Hispanic_Met_Math,Race_White_N,Race_White_Pct,Race_White_Mean_Tot,Race_White_Mean_ERW,Race_White_Mean_Math,Race_White_Met_Both,Race_White_Met_ERW,Race_White_Met_Math,Race_Multi_N,Race_Multi_Pct,Race_Multi_Mean_Tot,Race_Multi_Mean_ERW,Race_Multi_Mean_Math,Race_Multi_Met_Both,Race_Multi_Met_ERW,Race_Multi_Met_Math,Race_NoResp_N,Race_NoResp_Pct,Race_NoResp_Mean_Tot,Race_NoResp_Mean_ERW,Race_NoResp_Mean_Math,Race_NoResp_Met_Both,Race_NoResp_Met_ERW,Race_NoResp_Met_Math,Gen_Female_N,Gen_Female_Pct,Gen_Female_Mean_Tot,Gen_Female_Mean_ERW,Gen_Female_Mean_Math,Gen_Female_Met_Both,Gen_Female_Met_ERW,Gen_Female_Met_Math,Gen_Male_N,Gen_Male_Pct,Gen_Male_Mean_Tot,Gen_Male_Mean_ERW,Gen_Male_Mean_Math,Gen_Male_Met_Both,Gen_Male_Met_ERW,Gen_Male_Met_Math,Gen_NoResp_N,Gen_NoResp_Pct,Gen_NoResp_Mean_Tot,Gen_NoResp_Mean_ERW,Gen_NoResp_Mean_Math,Gen_NoResp_Met_Both,Gen_NoResp_Met_ERW,Gen_NoResp_Met_Math,Edu_NoHS_N,Edu_NoHS_Pct,Edu_NoHS_Mean_Tot,Edu_NoHS_Mean_ERW,Edu_NoHS_Mean_Math,Edu_NoHS_Met_Both,Edu_NoHS_Met_ERW,Edu_NoHS_Met_Math,Edu_HS_N,Edu_HS_Pct,Edu_HS_Mean_Tot,Edu_HS_Mean_ERW,Edu_HS_Mean_Math,Edu_HS_Met_Both,Edu_HS_Met_ERW,Edu_HS_Met_Math,Edu_Assoc_N,Edu_Assoc_Pct,Edu_Assoc_Mean_Tot,Edu_Assoc_Mean_ERW,Edu_Assoc_Mean_Math,Edu_Assoc_Met_Both,Edu_Assoc_Met_ERW,Edu_Assoc_Met_Math,Edu_Bach_N,Edu_Bach_Pct,Edu_Bach_Mean_Tot,Edu_Bach_Mean_ERW,Edu_Bach_Mean_Math,Edu_Bach_Met_Both,Edu_Bach_Met_ERW,Edu_Bach_Met_Math,Edu_Grad_N,Edu_Grad_Pct,Edu_Grad_Mean_Tot,Edu_Grad_Mean_ERW,Edu_Grad_Mean_Math,Edu_Grad_Met_Both,Edu_Grad_Met_ERW,Edu_Grad_Met_Math,Edu_NoResp_N,Edu_NoResp_Pct,Edu_NoResp_Mean_Tot,Edu_NoResp_Mean_ERW,Edu_NoResp_Mean_Math,Edu_NoResp_Met_Both,Edu_NoResp_Met_ERW,Edu_NoResp_Met_Math,SAT_75th_Total,SAT_75th_ERW,SAT_75th_Math,SAT_75th_Reading,SAT_75th_Writing,SAT_75th_Math_Sub,SAT_75th_Hist_Soc,SAT_75th_Science,SAT_50th_Total,SAT_50th_ERW,SAT_50th_Math,SAT_50th_Reading,SAT_50th_Writing,SAT_50th_Math_Sub,SAT_50th_Hist_Soc,SAT_50th_Science,SAT_25th_Total,SAT_25th_ERW,SAT_25th_Math,SAT_25th_Reading,SAT_25th_Writing,SAT_25th_Math_Sub,SAT_25th_Hist_Soc,SAT_25th_Science,Race_NatHaw_N,Race_NatHaw_Pct,Race_NatHaw_Mean_Tot,Race_NatHaw_Mean_ERW,Race_NatHaw_Mean_Math,Race_NatHaw_Met_Both,Race_NatHaw_Met_ERW,Race_NatHaw_Met_Math,SAT_IQR_Spread
2021,Alabama,1706,0.03,706,1159,591,10,0.01,1031,531,500,0.3,0.6,0.3,213,0.12,1293,620,673,0.81,0.87,0.89,240,0.14,999,519,480,0.27,0.65,0.28,111,0.07,1146,591,555,0.61,0.93,0.61,986,0.58,1173,603,570,0.67,0.91,0.68,76,0.04,1153,591,562,0.59,0.93,0.61,68,0.04,1140,574,567,0.59,0.81,0.62,962,0.56,1140,587,553,0.57,0.87,0.59,740,0.43,1184,595,589,0.69,0.86,0.71,739,0.1,944,490,454,0.27,0.59,0.28,171,0.02,943,485,458,0.27,0.63,0.27,1066,0.14,994,519,475,0.32,0.73,0.33,364,0.05,1006,522,483,0.4,0.74,0.41,2904,0.38,1089,565,524,0.57,0.88,0.58,2116,0.28,1141,592,549,0.68,0.91,0.69,764,0.1,938,486,453,0.26,0.58,0.28,1290,660,640,33,34,32,33,33,1150,600,560,29,30,28,29,30,1020,520,490,26,26,24.5,26,26,0,0,0,0,0,0,0,0,270
2021,Alaska,1842,0.23,842,1119,567,69,0.04,945,473,472,0.28,0.45,0.29,173,0.09,1087,542,545,0.54,0.72,0.55,28,0.02,1053,541,511,0.36,0.75,0.39,145,0.08,1072,545,527,0.48,0.73,0.52,1070,0.58,1169,594,576,0.69,0.91,0.7,224,0.12,1081,545,536,0.52,0.74,0.55,96,0.05,1012,516,496,0.33,0.61,0.36,1038,0.56,1109,569,540,0.54,0.81,0.55,801,0.43,1133,564,569,0.65,0.81,0.68,108,0.08,1007,515,491,0.41,0.78,0.42,28,0.02,987,504,483,0.36,0.79,0.36,226,0.18,1008,517,491,0.39,0.75,0.4,69,0.05,1057,546,511,0.52,0.91,0.52,413,0.32,1090,562,528,0.6,0.87,0.61,324,0.25,1138,586,552,0.68,0.9,0.68,112,0.09,988,510,478,0.37,0.73,0.38,1250,640,620,32,32,31,32,32,1120,570,550,29,28,27.5,29,29,980,490,480,25,24,24,25,25,37,0.02,896,440,456,0.14,0.24,0.16,270
2021,Arizona,9010,0.11,1181,592,589,89,0.01,1020,513,507,0.39,0.64,0.45,1071,0.12,1295,632,662,0.86,0.93,0.9,312,0.03,1059,537,522,0.43,0.71,0.45,2199,0.24,1101,554,547,0.56,0.79,0.59,4503,0.5,1208,608,600,0.79,0.93,0.8,518,0.06,1211,607,604,0.8,0.92,0.81,302,0.03,1079,541,538,0.51,0.67,0.53,4873,0.54,1166,591,575,0.69,0.88,0.7,4117,0.46,1198,592,605,0.76,0.87,0.78,1216,0.08,1007,512,495,0.42,0.7,0.44,778,0.05,935,473,462,0.26,0.55,0.28,2797,0.19,1004,513,491,0.39,0.73,0.41,684,0.05,1044,534,510,0.51,0.81,0.53,4810,0.33,1118,572,546,0.67,0.9,0.68,3819,0.26,1173,599,574,0.77,0.93,0.78,1205,0.08,983,499,484,0.37,0.66,0.39,1310,660,660,33,33,33,33,33,1190,600,590,30,30,29.5,30,30,1050,530,520,26,26,26,27,27,16,0,1118,554,564,0.69,0.88,0.69,260
2021,Arkansas,792,0.02,792,1194,610,0,0,0,0,0,0,0,0,92,0.12,1296,639,656,0.88,0.95,0.89,57,0.07,1055,545,511,0.42,0.74,0.42,86,0.11,1112,572,539,0.55,0.86,0.57,491,0.62,1215,624,591,0.77,0.95,0.78,32,0.04,1168,594,574,0.81,0.94,0.81,26,0.03,1118,570,549,0.58,0.77,0.58,414,0.52,1173,608,565,0.67,0.91,0.68,374,0.47,1218,612,606,0.79,0.92,0.8,262,0.06,1039,542,496,0.47,0.82,0.48,163,0.04,999,516,482,0.37,0.73,0.38,839,0.2,1046,543,503,0.47,0.83,0.48,252,0.06,1068,555,513,0.54,0.87,0.54,1516,0.36,1122,584,537,0.67,0.93,0.67,1074,0.26,1177,612,564,0.75,0.95,0.76,279,0.07,1038,541,497,0.46,0.81,0.48,1320,680,650,34,34,32.5,34,34,1210,620,590,30,31,29.5,30,30,1070,550,520,27,28,26,27,27,0,0,0,0,0,0,0,0,250
2021,California,116394,0.24,394,1057,527,569,0,900,452,448,0.19,0.33,0.21,24554,0.21,1263,613,650,0.82,0.88,0.84,4960,0.04,903,460,443,0.18,0.38,0.19,54030,0.46,924,466,458,0.21,0.4,0.23,22079,0.19,1178,592,586,0.7,0.86,0.72,4870,0.04,1199,599,600,0.73,0.87,0.74,4943,0.04,984,492,492,0.32,0.43,0.34,58530,0.5,1050,529,521,0.44,0.62,0.45,57690,0.5,1063,525,538,0.48,0.6,0.5,2747,0.08,1064,544,521,0.5,0.78,0.51,1130,0.03,973,496,477,0.32,0.69,0.34,5117,0.14,1028,527,501,0.42,0.78,0.43,1185,0.03,1049,538,510,0.49,0.83,0.5,12417,0.34,1145,585,560,0.69,0.92,0.7,12557,0.35,1227,625,602,0.82,0.96,0.82,2925,0.08,1046,537,510,0.46,0.77,0.47,1250,620,630,31,31,31.5,31,31,1030,520,520,26,26,26,26,26,850,430,420,22,21,21,22,22,389,0,982,491,490,0.33,0.51,0.35,400
2021,Colorado,34952,0.56,952,1072,544,146,0,951,488,464,0.25,0.51,0.28,1534,0.04,1177,580,597,0.71,0.83,0.74,1158,0.03,963,491,472,0.27,0.54,0.28,8273,0.24,973,494,479,0.29,0.54,0.31,20645,0.59,1116,567,550,0.58,0.82,0.6,1590,0.05,1111,565,546,0.56,0.8,0.57,1528,0.04,961,491,469,0.25,0.51,0.27,18055,0.52,1066,547,519,0.46,0.74,0.47,16788,0.48,1079,540,538,0.53,0.72,0.55,6923,0.22,977,500,477,0.35,0.65,0.37,1141,0.04,905,458,447,0.18,0.5,0.2,4555,0.15,982,504,478,0.34,0.7,0.36,1219,0.04,1005,516,488,0.39,0.77,0.41,9444,0.3,1083,556,527,0.59,0.88,0.61,6945,0.22,1137,584,553,0.7,0.92,0.71,6856,0.22,958,490,468,0.31,0.62,0.32,1210,620,600,31,31,30,31,31,1070,540,530,27,27,26.5,27,27,920,470,450,24,23,22.5,24,23,78,0,994,502,492,0.36,0.67,0.37,290
2021,Connecticut,30487,0.69,487,1072,545,70,0,958,496,462,0.2,0.54,0.23,2120,0.07,1241,608,633,0.76,0.87,0.79,2921,0.1,914,471,443,0.17,0.43,0.18,5501,0.18,957,491,466,0.25,0.52,0.27,17582,0.58,1116,568,548,0.57,0.82,0.59,1143,0.04,1119,571,548,0.55,0.79,0.57,1123,0.04,990,502,488,0.32,0.53,0.34,15175,0.5,1067,548,519,0.46,0.74,0.47,15227,0.5,1076,541,535,0.5,0.7,0.52,3184,0.11,920,468,452,0.26,0.5,0.27,1034,0.03,871,440,432,0.15,0.4,0.16,5263,0.18,942,483,459,0.26,0.6,0.27,1096,0.04,982,505,477,0.33,0.72,0.35,7967,0.27,1058,543,515,0.53,0.83,0.54,7135,0.24,1127,579,548,0.67,0.9,0.67,3845,0.13,913,465,448,0.24,0.5,0.26,1220,620,600,31,31,30,31,31,1070,540,520,27,27,26,27,27,910,460,440,23,23,22,24,23,27,0,919,475,444,0.15,0.44,0.15,310
2021,Delaware,10289,0.96,984,499,485,103,0.01,861,434,426,0.08,0.24,0.09,439,0.04,1199,590,609,0.72,0.8,0.74,2014,0.2,898,457,441,0.15,0.37,0.16,1750,0.17,914,462,453,0.18,0.4,0.21,4466,0.43,1060,539,520,0.46,0.72,0.48,590,0.06,999,510,488,0.34,0.63,0.35,912,0.09,841,424,417,0.09,0.23,0.1,5199,0.51,989,506,483,0.31,0.58,0.33,5078,0.49,979,491,487,0.33,0.51,0.35,91,0.03,1034,534,500,0.45,0.74,0.45,64,0.02,972,489,483,0.34,0.61,0.34,516,0.16,986,511,475,0.32,0.72,0.32,148,0.05,983,511,472,0.31,0.66,0.32,1234,0.38,1068,552,516,0.53,0.84,0.54,965,0.3,1130,583,547,0.65,0.9,0.66,106,0.03,999,519,480,0.39,0.72,0.39,1120,570,550,29,29,27.5,29,29,970,490,480,25,24,24,25,25,830,420,400,21,20,20,21,21,15,0,865,427,438,0.2,0.27,0.27,290
2021,District Of Columbia,4117,0.9,987,500,487,18,0,828,420,408,0.11,0.28,0.11,130,0.03,1185,584,601,0.67,0.76,0.69,1940,0.47,889,451,438,0.17,0.34,0.19,618,0.15,966,488,478,0.3,0.44,0.32,803,0.2,1246,632,614,0.79,0.9,0.79,192,0.05,1178,599,579,0.62,0.79,0.64,411,0.1,828,421,407,0.11,0.2,0.12,2013,0.49,975,497,478,0.31,0.47,0.32,2098,0.51,998,502,496,0.38,0.49,0.39,223,0.2,967,493,474,0.37,0.51,0.37,31,0.03,867,437,430,0.16,0.32,0.16,161,0.14,891,438,453,0.21,0.38,0.22,24,0.02,903,451,453,0.29,0.46,0.33,207,0.18,1126,576,550,0.68,0.84,0.69,539,0.47,1238,640,598,0.87,0.97,0.87,237,0.21,995,507,488,0.42,0.52,0.42,1180,600,580,30,30,29,30,30,930,470,460,24,23,23,24,24,770,390,380,20,19,19,20,20,0,0,0,0,0,0,0,0,410
2021,Florida,172869,0.81,869,993,513,1065,0.01,907,470,437,0.16,0.42,0.18,6835,0.04,1151,572,579,0.63,0.8,0.66,31302,0.18,890,465,425,0.13,0.39,0.13,57021,0.33,983,508,474,0.3,0.59,0.31,59846,0.35,1059,545,514,0.45,0.74,0.46,6219,0.04,1047,541,506,0.41,0.71,0.43,10292,0.06,845,444,401,0.1,0.28,0.11,88407,0.51,995,519,477,0.31,0.63,0.32,84105,0.49,990,507,483,0.33,0.56,0.35,5798,0.07,858,436,422,0.14,0.36,0.15,4560,0.06,863,439,424,0.14,0.38,0.15,19006,0.24,940,484,456,0.25,0.59,0.26,4896,0.06,988,512,476,0.35,0.7,0.36,22946,0.29,1056,546,511,0.51,0.81,0.52,16567,0.21,1102,568,534,0.6,0.84,0.61,6830,0.09,854,434,420,0.14,0.36,0.14,1130,580,550,29,29,27.5,29,29,970,500,470,25,25,23.5,25,25,830,440,390,22,21,19.5,22,22,289,0,934,486,448,0.2,0.5,0.21,300
2021,Georgia,49170,0.41,1086,551,534,152,0,989,499,490,0.32,0.55,0.38,4423,0.09,1236,604,632,0.78,0.87,0.82,12640,0.26,969,497,473,0.26,0.55,0.27,5534,0.11,1049,532,517,0.43,0.7,0.45,23242,0.47,1130,576,554,0.6,0.87,0.62,2053,0.04,1112,566,546,0.55,0.83,0.57,1087,0.02,1022,519,502,0.38,0.63,0.39,26916,0.55,1074,551,523,0.46,0.77,0.48,22200,0.45,1099,551,548,0.55,0.75,0.57,1058,0.05,1000,513,488,0.4,0.68,0.41,617,0.03,961,487,474,0.31,0.59,0.33,2714,0.13,1005,515,489,0.38,0.72,0.39,832,0.04,1017,523,494,0.41,0.77,0.42,7586,0.37,1102,567,535,0.59,0.88,0.61,7012,0.34,1161,597,563,0.71,0.91,0.71,1162,0.06,988,508,481,0.38,0.68,0.39,1220,620,600,31,31,30,31,31,1080,550,530,28,27,26.5,28,28,950,480,460,24,23,23,24,24,39,0,1007,512,495,0.33,0.59,0.33,270
2021,Hawaii,3848,0.26,848,1144,572,0,0,0,0,0,0,0,0,1391,0.36,1182,582,600,0.74,0.88,0.77,27,0.01,1043,544,500,0.33,0.7,0.33,544,0.14,1098,557,542,0.54,0.81,0.56,403,0.1,1191,607,584,0.74,0.95,0.75,1155,0.3,1137,573,565,0.61,0.85,0.63,114,0.03,1077,541,536,0.47,0.72,0.5,2076,0.54,1137,574,563,0.63,0.86,0.64,1771,0.46,1153,570,582,0.66,0.82,0.69,140,0.04,1011,516,494,0.41,0.69,0.41,42,0.01,1019,509,510,0.45,0.69,0.5,692,0.18,1005,515,490,0.36,0.77,0.38,290,0.07,1035,529,505,0.43,0.83,0.43,1573,0.4,1090,559,531,0.59,0.88,0.6,958,0.25,1146,589,557,0.71,0.92,0.71,173,0.04,985,505,480,0.36,0.66,0.37,1270,640,640,32,32,32,32,32,1130,570,560,28,29,28,28,29,1020,500,500,25,25,25,25,25,214,0.06,1010,502,508,0.37,0.55,0.42,250
2021,Idaho,19211,0.9,985,502,483,466,0.02,892,453,438,0.15,0.34,0.18,292,0.02,1074,531,543,0.49,0.7,0.54,156,0.01,883,451,433,0.1,0.35,0.13,2434,0.13,919,469,450,0.2,0.43,0.21,11005,0.57,1029,524,505,0.4,0.68,0.42,573,0.03,1019,518,502,0.4,0.66,0.41,4228,0.22,913,468,446,0.17,0.43,0.19,9503,0.49,984,508,477,0.29,0.61,0.3,9684,0.5,986,497,489,0.34,0.56,0.37,1346,0.21,1008,514,494,0.43,0.7,0.45,216,0.03,876,440,436,0.18,0.38,0.19,1151,0.18,978,500,478,0.34,0.66,0.36,345,0.06,1015,521,494,0.43,0.78,0.45,1982,0.32,1078,552,527,0.59,0.86,0.61,1233,0.2,1137,583,554,0.71,0.92,0.72,1284,0.21,987,504,483,0.38,0.67,0.4,1110,570,540,29,28,27,29,29,970,500,480,25,24,24,25,25,840,430,400,22,21,20,22,22,57,0,971,497,474,0.26,0.53,0.28,270
2021,Illinois,119066,0.8,1007,508,498,1216,0.01,877,444,433,0.12,0.31,0.14,7044,0.06,1200,588,612,0.72,0.83,0.75,12696,0.11,894,456,438,0.15,0.36,0.16,27400,0.23,947,480,468,0.25,0.48,0.27,52729,0.44,1070,540,530,0.49,0.72,0.51,3779,0.03,1060,538,523,0.45,0.69,0.47,14051,0.12,889,452,437,0.15,0.35,0.16,60095,0.5,1010,515,495,0.36,0.61,0.37,58606,0.49,1004,502,502,0.37,0.55,0.4,4857,0.1,1028,524,504,0.46,0.73,0.48,2108,0.04,943,477,466,0.29,0.58,0.31,8417,0.17,991,506,485,0.37,0.7,0.39,2331,0.05,1014,520,493,0.42,0.77,0.43,14774,0.29,1100,562,538,0.63,0.88,0.65,11678,0.23,1166,594,572,0.76,0.93,0.76,5115,0.1,1004,512,492,0.42,0.7,0.43,1150,580,570,29,29,28.5,29,30,990,500,490,25,25,24.5,25,25,840,430,410,21,21,20.5,22,22,151,0,898,453,445,0.17,0.34,0.2,310
